ALink,SName,SLink,Lyric,Idiom
/ac-dc/,Back In Black,/ac-dc/back-in-black.html,"Back in black, I hit the sack,. I've been too long,. I'm glad to be back. Yes I'm let loose from the noose,. That's kept me hangin' about. I been livin like a star 'cause it's gettin' me high,. Forget the hearse, 'cause I never die. I got nine lives, cat's eyes. abusing every one of them and running wild. [Chorus]. 'Cause I'm back! Yes, I'm back!. Well, I'm back! Yes, I'm back!. Well, I'm baaack, baaack.... Well, I'm back in black,. Yes, I'm back in black!. Back in a band,I got Cadillac,. Number one with a bullet, I'm a power pack. Yes I'm in a band with a gang,. they gotta catch me if they want me to hang. 'Cause I'm back on the track. and I'm beatin' the flack,. Nobody's gonna get me on another trap. So look at me now, I'm just a makin' my pay,. Don't try to push your luck,. just get outta my way. [Chorus]. 'Cause I'm back! Yes, I'm back!. Well, I'm back! Yeah, I'm back!. Well, I'm baaack, baaack.... Well, I'm back in black,. Yes, I'm back in black!. Let's go!. [Chorus]. Well, I'm back! Yes, I'm back!. Well, I'm back! Yes, I'm back!. Well, I'm baaack, baaack.... Well, I'm back in black,. Yes, I'm back in black-ow!. Aww yeah! Let's go!. Keep on goin'! Yeah yeah!. Yeah... aww yeah yeah!. Here we go!. [Chorus]. Well, I'm baaack... (I'm back!). Baaack... (Well, I'm back!). Baaack... (I'm back!). Baaack... (I'm back!). Baaack... (I'm back!). Baaack.... Yes, back in black,. Yes, I'm back in black.... Outta sight!",ENGLISH
/ac-dc/,Highway To Hell,/ac-dc/highway-to-the-hell.html,"Living easy, livin' free. Season ticket, on a one,way ride. Asking nothing, leave me be. Taking everything in my stride. Don't need reason, don't need rhyme. Ain't nothing I would rather do. Going down, party time. My friends are gonna be there too. I'm on the highway to hell. On the highway to hell. Highway to hell. I'm on the Highway to hell. No stop signs, speedin' limit. Nobody's gonna slow me down. Like a wheel, gonna spin it. Nobody's gonna mess me 'round. Hey Satan! Paid my dues. Playin' in a rockin' band. Hey Mama! Look at me. I'm on my way to the promise land. Wow!. I'm on the highway to hell. Highway to hell. On the highway to hell. I'm on the highway to hell. Don't stop me. I'm on the highway to hell. I'm on the highway to hell. I'm on the highway to hell. On the Highway to hell. Highway to hell. I'm on the Highway to hell. On highway to hell. I'm on the highway to hell. And I'm going down all the way. I'm on the highway to hell",ENGLISH
/ac-dc/,Thunderstruck,/ac-dc/thunderstruck.html,"Ahh-ahh-ahh-ahh-ahh-ahh (x7). Ahh-ahh-ahh-ahh-ahh-ahh. Thunder (x7). Thunder (x3). I was caught. In the middle of a railroad track (Thunder). I looked round. And I knew there was no turning back (Thunder). My mind raced. And I thought what could I do? (Thunder). And I knew. There was no help, no help from you (Thunder). Sound of the drums. Beatin' in my heart. The thunder of guns. Tore me apart. You've been - thunderstruck. Went down the highway. Broke the limit, we hit the town. Went through to Texas, yeah Texas. And we had some fun. We met some girls. Some dancers who gave a good time. Broke all the rules, played all the fools. Yeah, yeah, they, they, they blew our minds. Now the shakin' at the knees. Could I come again please?. Yeah the ladies were too kind. You've been - thunderstruck, thunderstruck. Yeah yeah yeah, thunderstruck. Oh, thunderstruck. Yeah. Now we're shaking at the knees. Could I come again please?. Thunderstruck, thunderstruck. Yeah yeah yeah, thunderstruck. Thunderstruck, yeah, yeah, yeah. Said yeah, it's alright. We're doing fine. Yeah, it's alright. We're doing fine. So fine. Thunderstruck, yeah, yeah, yeah,. Thunderstruck, thunderstruck, thunderstruck. Whoa baby, thunder, thunderstruck. You've been thunderstruck, thunderstruck. Thunderstruck, thunderstruck. You've been thunderstruck",ENGLISH
/ac-dc/,T.N.T.,/ac-dc/t-n-t.html,"Aye, aye, aye, aye, aye,. Aye, aye, aye, aye, aye. See me ride out of the sunset. On your colour Tv screen. Out for all that I can get. If you know what I mean. Women to the left of me. And women to the right. Ain't got no gun. Ain't got no knife. (But) don't you start no fight. Cause I'm T.N.T., I'm dynamite. T.N.T. and I'll win the fight. T.N.T. I'm a power load. T.N.T. watch me explode. I'm dirty, mean and mighty unclean. I'm a wanted man. Public enemy number one. Understand?. So lock up your daughter. Lock up your wife. Lock up your back door. (And) run for your life. The man is back in town. (So) don't you mess me 'round. Cause I'm T.N.T., I'm dynamite. T.N.T. and I'll win the fight. T.N.T. I'm a power load. T.N.T. watch me explode. T.N.T. aye, aye, aye. T.N.T. aye, aye, aye. T.N.T. aye, aye, aye. T.N.T. aye, aye, aye. T.N.T. aye. I'm dynamite (aye, aye). T.N.T. aye. And I'll win the fight (aye, aye). T.N.T. aye. I'm a power load (aye, aye). T.N.T.. Watch me explode",ENGLISH
/ac-dc/,You Shook Me All Night Long,/ac-dc/you-shook-me-all-night-long.html,"She was a fast machine. She kept the motor clean. She was the best damn woman that I ever seen. She had sightless eyes. Telling me no lies. Knockin' me out with those American thighs. Taking more than her share. Had me fighting for air. She told me to come, but I was already there. Cause the walls started shaking. The earth was quaking. My mind was aching. And we were makin' it. and you.... Shook me all night long. Yeah you, shook me all night long. Walking double time on the seduction line. She was one of a kind. She's just mine all mine. Wanted no applause. It's just another cause. Made a meal out of me, and come back for more. Had to cool me down. To take another round. Now I'm back in the ring to take another swing. But the walls was shaking. Earth was quaking. My mind was aching. And we were making it. and you.... Shook me all night long. Yeah you, shook me all night long. Knockin' me out, yeah you. Shook me all night long. You really shook me, yeah you. Shook me all night long. Yeah, you shook me. Well you shook me.... You, shook me all night long. Yeah you,Shook me all night long. You really got me, and you. Shook me all night long. You really got me, and you. Shook me all night long. Yeah you shook me. Yeah you shook me. All night long...",ENGLISH
/ac-dc/,Rock 'n' Roll Train,/ac-dc/rock-n-roll-train.html,"One hot angel. One cool devil. Your mind on the fantasy. Livin on the ecstasy. Give it all, give it,. Give it what you got. Come on give it all a lot. Pick it up move it. Give it to the spot. Your mind on fantasy. Livin on ecstasy. Runaway Train. (Running right off the track). Runaway Train. (Running right off the track). Runaway Train. (Running right off the track). Yeah the Runaway Train. (Running right off the track). One hot ringin' bell. Old school rebel. A ten for the revelry. Diamond of the agency. Shake it, Shake it. Take it to the spot. You know she make it really hot. Get it on, get it up. Come on give it all you got. Your mind on fantasy. Livin on the ecstasy. Runaway Train. (Running right off the track). Yeah the Runaway Train yeah. (Running right off the track). On the Runaway Train. (Running right off the track). Runaway Train. (Running right off the track). One hot southern belle. Son of a devil. A school boy spelling bee. A school girl with a fantasy. One hot ringin' bell. Old school rebel. A ten for the revelry. Diamond of the agency. Shake it, Shake it. Take it to the spot. You know. She make it really hot Yeah. Get it on, get it up. Come on give it what you got. You know she's just like a. Runaway Train. (Running right off the track). She's coming off the track. Runaway Train. (Running right off the track). Get it on, get it up. Come on give it all you got. Runaway Train. (Running right off the track). Runaway Train. (Running right off the track)",ENGLISH
/ac-dc/,Shoot To Thrill,/ac-dc/shoot-to-thrill.html,"All you women who want a man of the street. But you don't know which way you wanna turn. Just keep a coming and put your hand out to me. Cause I'm the one who's gonna make you burn. I'm gonna take you down. Oh, Down, down, down. So don't you fool around. I'm gonna pull it, pull it, pull the trigger. Shoot to thrill, play to kill. Too many women with too many pills, yeah. Shoot to thrill, play to kill. I got my gun at the ready, gonna fire at will, yeah. I'm like evil, I get under your skin. Just like a bomb that's ready to blow. Cause I'm illegal, I got everything. That all you women might need to know. I'm gonna take you down. Yeah, down, down, down. So don't you fool around. I'm gonna pull it, pull it, pull the trigger. Shoot to thrill, play to kill. Too many women with too many pills. Shoot to thrill, play to kill. I got my gun at the ready, gonna fire at will. Cause I shoot to thrill and I'm ready to kill. I can't get enough, I can't get my fill. I shoot to thrill, play to kill. Yeah, pull the trigger. Pull it, pull it, pull it, pull the trigger. Oh. Shoot to thrill, play to kill. Too many women, with too many pills. I said, shoot to thrill, play to kill. I got my gun at the ready, gonna fire at will. Cause I shoot to thrill, and I'm ready to kill. And I can't get enough, and I can't get my thrill. Cause I shoot to thrill, play it again. Yeah. Shoot you down. Yeah. I'm gonna get you to the bottom and shoot you. I'm gonna shoot you. Oh hoo yeah yeah yeah. I'm gonna shoot you down yeah yeah. I'm gonna get you down. Yeah yeah yeah yeah. Shoot you, shoot you, shoot you, shoot you down. Shoot you, shoot you, shoot you down. Oh, oh, oh, oh, oh, oh, ooooooh. I'm gonna shoot to thrill. Play to kill, shoot to thrill",ENGLISH
/ac-dc/,Hells Bells,/ac-dc/hells-bells.html,"I'm a rolling thunder, a pouring rain. I'm comin' on like a hurricane. My lightning's flashing across the sky. You're only young but you're gonna die. I won't take no prisoners, won't spare no lives. Nobody's putting up a fight. I got my bell, I'm gonna take you to hell. I'm gonna get ya, Satan get ya. Hell's Bells. Yeah, Hell's Bells. You got me ringing Hell's Bells. My temperature's high, Hell's Bells. I'll give you black sensations up and down your spine. If you're into evil you're a friend of mine. See my white light flashing as I split the night. 'Cos if god's on the left, then I'm stickin' to the right. I won't take no prisoners, won't spare no lives. Nobody's puttin' up a fight. I got my bell, I'm gonna take you to hell. I'm gonna get ya, Satan get ya. Hell's Bells. Yeah, Hell's Bells. You got me ringing Hell's Bells. My temperature's high, Hell's Bells. Yeow. Hell's Bells, Satan's comin' to you. Hell's Bells, he's ringing them now. Hell's Bells, the temperature's high. Hell's Bells, across the sky. Hell's Bells, they're takin' you down. Hell's Bells, they're draggin' you under. Hell's Bells, gonna split the night. Hell's Bells, there's no way to fight, yeah. Ow, ow, ow, ow. Hell's Bells",ENGLISH
/ac-dc/,It's A Long Way To The Top (If You Wanna Rock 'n' Roll),/ac-dc/its-a-long-way-to-the-top-if-you-wanna-rock-n-roll.html,"Ridin' down the highway. Goin' to a show. Stop in all the byways. Playin' rock 'n' roll. Gettin' robbed. Gettin' stoned. Gettin' beat up. Broken boned. Gettin' had. Gettin' took. I tell you folks. It's harder than it looks. It's a long way to the top if you wanna rock 'n' roll. It's a long way to the top if you wanna rock 'n' roll. If you think it's easy doin' one night stands. Try playin' in a rock roll band. It's a long way to the top if you wanna rock 'n' roll. Hotel motel. Make you wanna cry. Lady do the hard sell. Know the reason why. Gettin' old. Gettin' grey. Gettin' ripped off. Under-paid. Gettin' sold. Second hand. That's how it goes. Playin' in a band. It's a long way to the top if you wanna rock 'n' roll. It's a long way to the top if you wanna rock 'n' roll. If you wanna be a star of stage and screen. Look out it's rough and mean. It's a long way to the top if you wanna rock 'n' roll. It's a long way to the top if you wanna rock 'n' roll. It's a long way to the top if you wanna rock 'n' roll. It's a long way to the top if you wanna rock 'n' roll. Well it's a long way. It's a long way, you should've told me. It's a long way, such a long way",ENGLISH
/ac-dc/,"Dirty Deeds, Done Dirt Cheap",/ac-dc/dirty-deeds-done-dirt-cheap.html,"If you're havin' trouble with the high school head. He's givin' you the blues. You wanna graduate but not in his bed. Here's what you gotta do. Pick up the phone, I'm always home. Call me any time. Just ring 36 24 36 hey. I lead a life of crime. Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. (Dirty deeds and they're done dirt cheap). (Dirty deeds and they're done dirt cheap). You got problems in your life of love. You got a broken heart. He's double dealin' with your best friend. That's when the teardrops star fella. Pick up the phone, I'm here alone. Or make a social call. Come right in, forget 'bout him. We'll have ourselves a ball hey. Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. (Dirty deeds and they're done dirt cheap). (Dirty deeds and they're done dirt cheap). Yeahhh. If you got a lady and you want her gone. But you ain't got the guts. She keeps naggin' at you night and day. Enough to drive you nuts. Pick up the phone, leave her alone. It's time you made a stand. For a fee, I'm happy to be. Your back door man hey. Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. (Dirty deeds and they're done dirt cheap) yeah. (Dirty deeds and they're done dirt cheap). (Dirty deeds and they're done dirt cheap). (Dirty deeds and they're done dirt cheap). Concrete shoes, cyanide, TNT. (Done dirt cheap). Neck ties, contracts, high voltage. (Done dirt cheap). Dirty deeds, done dirt cheap. Dirty deeds, done dirt cheap. Dirty deeds,. .... Done dirt cheap. Dirty deeds, dirty deeds, dirty deeds,. Done dirt cheap, ahhhhh.",ENGLISH
